UNIQUE_SUBJECT_UID,Task,Train,Generations
count-size_equate_2_598,count-size,TS-controlled,30.0
count-size_equate_2_599,count-size,TS-controlled,30.0
count-size_equate_3_141,count-size,CH-controlled,8.0
count-size_equate_3_142,count-size,CH-controlled,8.0
count-size_equate_3_143,count-size,CH-controlled,8.0
count-size_equate_3_144,count-size,CH-controlled,8.0
count-size_equate_3_145,count-size,CH-controlled,8.0
count-size_equate_3_146,count-size,CH-controlled,8.0
count-size_equate_3_147,count-size,CH-controlled,8.0
count-size_equate_3_148,count-size,CH-controlled,8.0
count-size_equate_3_149,count-size,CH-controlled,8.0
count-size_equate_3_150,count-size,CH-controlled,8.0
count-size_equate_3_151,count-size,CH-controlled,8.0
count-size_equate_3_152,count-size,CH-controlled,8.0
count-size_equate_3_153,count-size,CH-controlled,8.0
count-size_equate_3_154,count-size,CH-controlled,8.0
count-size_equate_3_155,count-size,CH-controlled,8.0
count-size_equate_3_156,count-size,CH-controlled,8.0
count-size_equate_3_157,count-size,CH-controlled,8.0
count-size_equate_3_158,count-size,CH-controlled,8.0
count-size_equate_3_159,count-size,CH-controlled,8.0
count-size_equate_3_160,count-size,CH-controlled,8.0
size_equate_1_121,size,AD-controlled,7.0
size_equate_1_122,size,AD-controlled,7.0
size_equate_1_123,size,AD-controlled,7.0
size_equate_1_124,size,AD-controlled,7.0
size_equate_1_125,size,AD-controlled,7.0
size_equate_1_126,size,AD-controlled,7.0
size_equate_1_127,size,AD-controlled,7.0
size_equate_1_129,size,AD-controlled,7.0
size_equate_1_130,size,AD-controlled,7.0
size_equate_1_131,size,AD-controlled,7.0
size_equate_1_132,size,AD-controlled,7.0
size_equate_1_133,size,AD-controlled,7.0
size_equate_1_134,size,AD-controlled,7.0
size_equate_1_135,size,AD-controlled,7.0
size_equate_1_136,size,AD-controlled,7.0
size_equate_1_137,size,AD-controlled,7.0
size_equate_1_138,size,AD-controlled,7.0
size_equate_1_139,size,AD-controlled,7.0
size_equate_1_140,size,AD-controlled,7.0
size_equate_2_281,size,TS-controlled,15.0
size_equate_2_282,size,TS-controlled,15.0
size_equate_2_283,size,TS-controlled,15.0
size_equate_2_284,size,TS-controlled,15.0
size_equate_2_285,size,TS-controlled,15.0
size_equate_2_286,size,TS-controlled,15.0
size_equate_2_287,size,TS-controlled,15.0
size_equate_2_288,size,TS-controlled,15.0
size_equate_2_289,size,TS-controlled,15.0
size_equate_2_290,size,TS-controlled,15.0
size_equate_2_291,size,TS-controlled,15.0
size_equate_2_292,size,TS-controlled,15.0
size_equate_2_293,size,TS-controlled,15.0
size_equate_2_294,size,TS-controlled,15.0
size_equate_2_295,size,TS-controlled,15.0
size_equate_2_296,size,TS-controlled,15.0
size_equate_2_297,size,TS-controlled,15.0
size_equate_2_298,size,TS-controlled,15.0
size_equate_2_299,size,TS-controlled,15.0
size_equate_2_300,size,TS-controlled,15.0
size_equate_3_101,size,CH-controlled,6.0
size_equate_3_102,size,CH-controlled,6.0
size_equate_3_103,size,CH-controlled,6.0
size_equate_3_104,size,CH-controlled,6.0
size_equate_3_105,size,CH-controlled,6.0
size_equate_3_106,size,CH-controlled,6.0
size_equate_3_107,size,CH-controlled,6.0
size_equate_3_108,size,CH-controlled,6.0
size_equate_3_109,size,CH-controlled,6.0
size_equate_3_110,size,CH-controlled,6.0
size_equate_3_111,size,CH-controlled,6.0
size_equate_3_112,size,CH-controlled,6.0
size_equate_3_113,size,CH-controlled,6.0
size_equate_3_114,size,CH-controlled,6.0
size_equate_3_115,size,CH-controlled,6.0
size_equate_3_116,size,CH-controlled,6.0
size_equate_3_117,size,CH-controlled,6.0
size_equate_3_118,size,CH-controlled,6.0
size_equate_3_119,size,CH-controlled,6.0
size_equate_3_120,size,CH-controlled,6.0
