UNIQUE_SUBJECT_UID,Task,Train,Generations
colors-count_equate_3_587,colors-count,CH-controlled,30.0
colors-count_equate_3_588,colors-count,CH-controlled,30.0
colors-count_equate_3_589,colors-count,CH-controlled,30.0
colors-count_equate_3_590,colors-count,CH-controlled,30.0
colors-count_equate_3_591,colors-count,CH-controlled,30.0
colors-count_equate_3_592,colors-count,CH-controlled,30.0
colors-count_equate_3_593,colors-count,CH-controlled,30.0
colors-count_equate_3_594,colors-count,CH-controlled,30.0
colors-count_equate_3_595,colors-count,CH-controlled,30.0
colors-count_equate_3_596,colors-count,CH-controlled,30.0
colors-count_equate_3_597,colors-count,CH-controlled,30.0
colors-count_equate_3_598,colors-count,CH-controlled,30.0
colors-count_equate_3_599,colors-count,CH-controlled,30.0
colors-count_equate_3_600,colors-count,CH-controlled,30.0
count_equate_1_241,count,AD-controlled,13.0
count_equate_1_242,count,AD-controlled,13.0
count_equate_1_243,count,AD-controlled,13.0
count_equate_1_244,count,AD-controlled,13.0
count_equate_1_245,count,AD-controlled,13.0
count_equate_1_246,count,AD-controlled,13.0
count_equate_1_247,count,AD-controlled,13.0
count_equate_1_248,count,AD-controlled,13.0
count_equate_1_249,count,AD-controlled,13.0
count_equate_1_250,count,AD-controlled,13.0
count_equate_1_251,count,AD-controlled,13.0
count_equate_1_252,count,AD-controlled,13.0
count_equate_1_253,count,AD-controlled,13.0
count_equate_1_254,count,AD-controlled,13.0
count_equate_1_255,count,AD-controlled,13.0
count_equate_1_256,count,AD-controlled,13.0
count_equate_1_257,count,AD-controlled,13.0
count_equate_1_258,count,AD-controlled,13.0
count_equate_1_259,count,AD-controlled,13.0
count_equate_1_260,count,AD-controlled,13.0
count_equate_2_581,count,TS-controlled,30.0
count_equate_2_582,count,TS-controlled,30.0
count_equate_2_583,count,TS-controlled,30.0
count_equate_2_584,count,TS-controlled,30.0
count_equate_2_585,count,TS-controlled,30.0
count_equate_2_586,count,TS-controlled,30.0
count_equate_2_587,count,TS-controlled,30.0
count_equate_2_588,count,TS-controlled,30.0
count_equate_2_589,count,TS-controlled,30.0
count_equate_2_590,count,TS-controlled,30.0
count_equate_2_591,count,TS-controlled,30.0
count_equate_2_592,count,TS-controlled,30.0
count_equate_2_593,count,TS-controlled,30.0
count_equate_2_594,count,TS-controlled,30.0
count_equate_2_595,count,TS-controlled,30.0
count_equate_2_596,count,TS-controlled,30.0
count_equate_2_597,count,TS-controlled,30.0
count_equate_2_598,count,TS-controlled,30.0
count_equate_2_599,count,TS-controlled,30.0
count_equate_2_600,count,TS-controlled,30.0
count_equate_3_581,count,CH-controlled,30.0
count_equate_3_582,count,CH-controlled,30.0
count_equate_3_583,count,CH-controlled,30.0
count_equate_3_584,count,CH-controlled,30.0
count_equate_3_585,count,CH-controlled,30.0
count_equate_3_586,count,CH-controlled,30.0
count_equate_3_587,count,CH-controlled,30.0
count_equate_3_588,count,CH-controlled,30.0
count_equate_3_589,count,CH-controlled,30.0
count_equate_3_590,count,CH-controlled,30.0
count_equate_3_591,count,CH-controlled,30.0
count_equate_3_592,count,CH-controlled,30.0
count_equate_3_593,count,CH-controlled,30.0
count_equate_3_594,count,CH-controlled,30.0
count_equate_3_595,count,CH-controlled,30.0
count_equate_3_596,count,CH-controlled,30.0
count_equate_3_597,count,CH-controlled,30.0
count_equate_3_598,count,CH-controlled,30.0
count_equate_3_599,count,CH-controlled,30.0
count_equate_3_600,count,CH-controlled,30.0
size-count_equate_1_241,size-count,AD-controlled,13.0
size-count_equate_1_242,size-count,AD-controlled,13.0
size-count_equate_1_243,size-count,AD-controlled,13.0
size-count_equate_1_244,size-count,AD-controlled,13.0
size-count_equate_1_245,size-count,AD-controlled,13.0
size-count_equate_1_246,size-count,AD-controlled,13.0
size-count_equate_1_247,size-count,AD-controlled,13.0
size-count_equate_1_248,size-count,AD-controlled,13.0
size-count_equate_1_249,size-count,AD-controlled,13.0
size-count_equate_1_250,size-count,AD-controlled,13.0
size-count_equate_1_251,size-count,AD-controlled,13.0
size-count_equate_1_252,size-count,AD-controlled,13.0
size-count_equate_1_253,size-count,AD-controlled,13.0
size-count_equate_1_254,size-count,AD-controlled,13.0
size-count_equate_1_255,size-count,AD-controlled,13.0
size-count_equate_1_256,size-count,AD-controlled,13.0
size-count_equate_1_257,size-count,AD-controlled,13.0
size-count_equate_1_258,size-count,AD-controlled,13.0
size-count_equate_1_259,size-count,AD-controlled,13.0
size-count_equate_1_260,size-count,AD-controlled,13.0
size-count_equate_2_581,size-count,TS-controlled,30.0
size-count_equate_2_583,size-count,TS-controlled,30.0
size-count_equate_2_584,size-count,TS-controlled,30.0
size-count_equate_2_585,size-count,TS-controlled,30.0
size-count_equate_2_586,size-count,TS-controlled,30.0
size-count_equate_2_587,size-count,TS-controlled,30.0
size-count_equate_2_588,size-count,TS-controlled,30.0
size-count_equate_2_589,size-count,TS-controlled,30.0
size-count_equate_2_590,size-count,TS-controlled,30.0
size-count_equate_2_591,size-count,TS-controlled,30.0
size-count_equate_2_592,size-count,TS-controlled,30.0
size-count_equate_2_593,size-count,TS-controlled,30.0
size-count_equate_2_594,size-count,TS-controlled,30.0
size-count_equate_2_595,size-count,TS-controlled,30.0
size-count_equate_2_596,size-count,TS-controlled,30.0
size-count_equate_2_597,size-count,TS-controlled,30.0
size-count_equate_2_598,size-count,TS-controlled,30.0
size-count_equate_2_599,size-count,TS-controlled,30.0
size-count_equate_2_600,size-count,TS-controlled,30.0
size-count_equate_3_581,size-count,CH-controlled,30.0
size-count_equate_3_582,size-count,CH-controlled,30.0
size-count_equate_3_583,size-count,CH-controlled,30.0
size-count_equate_3_584,size-count,CH-controlled,30.0
size-count_equate_3_585,size-count,CH-controlled,30.0
size-count_equate_3_586,size-count,CH-controlled,30.0
size-count_equate_3_587,size-count,CH-controlled,30.0
size-count_equate_3_588,size-count,CH-controlled,30.0
size-count_equate_3_589,size-count,CH-controlled,30.0
size-count_equate_3_590,size-count,CH-controlled,30.0
size-count_equate_3_591,size-count,CH-controlled,30.0
size-count_equate_3_592,size-count,CH-controlled,30.0
size-count_equate_3_593,size-count,CH-controlled,30.0
size-count_equate_3_594,size-count,CH-controlled,30.0
size-count_equate_3_595,size-count,CH-controlled,30.0
size-count_equate_3_596,size-count,CH-controlled,30.0
size-count_equate_3_597,size-count,CH-controlled,30.0
size-count_equate_3_598,size-count,CH-controlled,30.0
size-count_equate_3_599,size-count,CH-controlled,30.0
size-count_equate_3_600,size-count,CH-controlled,30.0
