UNIQUE_SUBJECT_UID,Task,Train,Generations
colors-count_equate_3_587,colors-count,CH-controlled,30.0
colors-count_equate_3_588,colors-count,CH-controlled,30.0
colors-count_equate_3_589,colors-count,CH-controlled,30.0
colors-count_equate_3_590,colors-count,CH-controlled,30.0
colors-count_equate_3_591,colors-count,CH-controlled,30.0
colors-count_equate_3_592,colors-count,CH-controlled,30.0
colors-count_equate_3_593,colors-count,CH-controlled,30.0
colors-count_equate_3_594,colors-count,CH-controlled,30.0
colors-count_equate_3_595,colors-count,CH-controlled,30.0
colors-count_equate_3_596,colors-count,CH-controlled,30.0
colors-count_equate_3_597,colors-count,CH-controlled,30.0
colors-count_equate_3_598,colors-count,CH-controlled,30.0
colors-count_equate_3_599,colors-count,CH-controlled,30.0
colors-count_equate_3_600,colors-count,CH-controlled,30.0
colors_equate_1_121,colors,AD-controlled,7.0
colors_equate_1_122,colors,AD-controlled,7.0
colors_equate_1_123,colors,AD-controlled,7.0
colors_equate_1_124,colors,AD-controlled,7.0
colors_equate_1_125,colors,AD-controlled,7.0
colors_equate_1_126,colors,AD-controlled,7.0
colors_equate_1_127,colors,AD-controlled,7.0
colors_equate_1_128,colors,AD-controlled,7.0
colors_equate_1_129,colors,AD-controlled,7.0
colors_equate_1_130,colors,AD-controlled,7.0
colors_equate_1_131,colors,AD-controlled,7.0
colors_equate_1_132,colors,AD-controlled,7.0
colors_equate_1_133,colors,AD-controlled,7.0
colors_equate_1_134,colors,AD-controlled,7.0
colors_equate_1_135,colors,AD-controlled,7.0
colors_equate_1_136,colors,AD-controlled,7.0
colors_equate_1_137,colors,AD-controlled,7.0
colors_equate_1_138,colors,AD-controlled,7.0
colors_equate_1_139,colors,AD-controlled,7.0
colors_equate_1_140,colors,AD-controlled,7.0
colors_equate_2_41,colors,TS-controlled,3.0
colors_equate_2_42,colors,TS-controlled,3.0
colors_equate_2_43,colors,TS-controlled,3.0
colors_equate_2_44,colors,TS-controlled,3.0
colors_equate_2_45,colors,TS-controlled,3.0
colors_equate_2_46,colors,TS-controlled,3.0
colors_equate_2_47,colors,TS-controlled,3.0
colors_equate_2_48,colors,TS-controlled,3.0
colors_equate_2_49,colors,TS-controlled,3.0
colors_equate_2_50,colors,TS-controlled,3.0
colors_equate_2_51,colors,TS-controlled,3.0
colors_equate_2_52,colors,TS-controlled,3.0
colors_equate_2_53,colors,TS-controlled,3.0
colors_equate_2_54,colors,TS-controlled,3.0
colors_equate_2_55,colors,TS-controlled,3.0
colors_equate_2_56,colors,TS-controlled,3.0
colors_equate_2_57,colors,TS-controlled,3.0
colors_equate_2_58,colors,TS-controlled,3.0
colors_equate_2_59,colors,TS-controlled,3.0
colors_equate_2_60,colors,TS-controlled,3.0
colors_equate_3_121,colors,CH-controlled,7.0
colors_equate_3_122,colors,CH-controlled,7.0
colors_equate_3_123,colors,CH-controlled,7.0
colors_equate_3_124,colors,CH-controlled,7.0
colors_equate_3_125,colors,CH-controlled,7.0
colors_equate_3_126,colors,CH-controlled,7.0
colors_equate_3_127,colors,CH-controlled,7.0
colors_equate_3_128,colors,CH-controlled,7.0
colors_equate_3_129,colors,CH-controlled,7.0
colors_equate_3_130,colors,CH-controlled,7.0
colors_equate_3_131,colors,CH-controlled,7.0
colors_equate_3_132,colors,CH-controlled,7.0
colors_equate_3_133,colors,CH-controlled,7.0
colors_equate_3_134,colors,CH-controlled,7.0
colors_equate_3_135,colors,CH-controlled,7.0
colors_equate_3_136,colors,CH-controlled,7.0
colors_equate_3_137,colors,CH-controlled,7.0
colors_equate_3_138,colors,CH-controlled,7.0
colors_equate_3_139,colors,CH-controlled,7.0
colors_equate_3_140,colors,CH-controlled,7.0
count-size_equate_1_100,count-size,AD-controlled,5.0
count-size_equate_1_81,count-size,AD-controlled,5.0
count-size_equate_1_82,count-size,AD-controlled,5.0
count-size_equate_1_83,count-size,AD-controlled,5.0
count-size_equate_1_84,count-size,AD-controlled,5.0
count-size_equate_1_85,count-size,AD-controlled,5.0
count-size_equate_1_86,count-size,AD-controlled,5.0
count-size_equate_1_87,count-size,AD-controlled,5.0
count-size_equate_1_88,count-size,AD-controlled,5.0
count-size_equate_1_89,count-size,AD-controlled,5.0
count-size_equate_1_90,count-size,AD-controlled,5.0
count-size_equate_1_91,count-size,AD-controlled,5.0
count-size_equate_1_92,count-size,AD-controlled,5.0
count-size_equate_1_93,count-size,AD-controlled,5.0
count-size_equate_1_94,count-size,AD-controlled,5.0
count-size_equate_1_95,count-size,AD-controlled,5.0
count-size_equate_1_96,count-size,AD-controlled,5.0
count-size_equate_1_97,count-size,AD-controlled,5.0
count-size_equate_1_98,count-size,AD-controlled,5.0
count-size_equate_1_99,count-size,AD-controlled,5.0
count-size_equate_2_581,count-size,TS-controlled,30.0
count-size_equate_2_582,count-size,TS-controlled,30.0
count-size_equate_2_583,count-size,TS-controlled,30.0
count-size_equate_2_584,count-size,TS-controlled,30.0
count-size_equate_2_585,count-size,TS-controlled,30.0
count-size_equate_2_586,count-size,TS-controlled,30.0
count-size_equate_2_587,count-size,TS-controlled,30.0
count-size_equate_2_588,count-size,TS-controlled,30.0
count-size_equate_2_589,count-size,TS-controlled,30.0
count-size_equate_2_590,count-size,TS-controlled,30.0
count-size_equate_2_591,count-size,TS-controlled,30.0
count-size_equate_2_592,count-size,TS-controlled,30.0
count-size_equate_2_593,count-size,TS-controlled,30.0
count-size_equate_2_594,count-size,TS-controlled,30.0
count-size_equate_2_595,count-size,TS-controlled,30.0
count-size_equate_2_597,count-size,TS-controlled,30.0
count-size_equate_2_598,count-size,TS-controlled,30.0
count-size_equate_2_599,count-size,TS-controlled,30.0
count-size_equate_3_141,count-size,CH-controlled,8.0
count-size_equate_3_142,count-size,CH-controlled,8.0
count-size_equate_3_143,count-size,CH-controlled,8.0
count-size_equate_3_144,count-size,CH-controlled,8.0
count-size_equate_3_145,count-size,CH-controlled,8.0
count-size_equate_3_146,count-size,CH-controlled,8.0
count-size_equate_3_147,count-size,CH-controlled,8.0
count-size_equate_3_148,count-size,CH-controlled,8.0
count-size_equate_3_149,count-size,CH-controlled,8.0
count-size_equate_3_150,count-size,CH-controlled,8.0
count-size_equate_3_151,count-size,CH-controlled,8.0
count-size_equate_3_152,count-size,CH-controlled,8.0
count-size_equate_3_153,count-size,CH-controlled,8.0
count-size_equate_3_154,count-size,CH-controlled,8.0
count-size_equate_3_155,count-size,CH-controlled,8.0
count-size_equate_3_156,count-size,CH-controlled,8.0
count-size_equate_3_157,count-size,CH-controlled,8.0
count-size_equate_3_158,count-size,CH-controlled,8.0
count-size_equate_3_159,count-size,CH-controlled,8.0
count-size_equate_3_160,count-size,CH-controlled,8.0
count_equate_1_241,count,AD-controlled,13.0
count_equate_1_242,count,AD-controlled,13.0
count_equate_1_243,count,AD-controlled,13.0
count_equate_1_244,count,AD-controlled,13.0
count_equate_1_245,count,AD-controlled,13.0
count_equate_1_246,count,AD-controlled,13.0
count_equate_1_247,count,AD-controlled,13.0
count_equate_1_248,count,AD-controlled,13.0
count_equate_1_249,count,AD-controlled,13.0
count_equate_1_250,count,AD-controlled,13.0
count_equate_1_251,count,AD-controlled,13.0
count_equate_1_252,count,AD-controlled,13.0
count_equate_1_253,count,AD-controlled,13.0
count_equate_1_254,count,AD-controlled,13.0
count_equate_1_255,count,AD-controlled,13.0
count_equate_1_256,count,AD-controlled,13.0
count_equate_1_257,count,AD-controlled,13.0
count_equate_1_258,count,AD-controlled,13.0
count_equate_1_259,count,AD-controlled,13.0
count_equate_1_260,count,AD-controlled,13.0
count_equate_2_581,count,TS-controlled,30.0
count_equate_2_582,count,TS-controlled,30.0
count_equate_2_583,count,TS-controlled,30.0
count_equate_2_584,count,TS-controlled,30.0
count_equate_2_585,count,TS-controlled,30.0
count_equate_2_586,count,TS-controlled,30.0
count_equate_2_587,count,TS-controlled,30.0
count_equate_2_588,count,TS-controlled,30.0
count_equate_2_589,count,TS-controlled,30.0
count_equate_2_590,count,TS-controlled,30.0
count_equate_2_591,count,TS-controlled,30.0
count_equate_2_592,count,TS-controlled,30.0
count_equate_2_593,count,TS-controlled,30.0
count_equate_2_594,count,TS-controlled,30.0
count_equate_2_595,count,TS-controlled,30.0
count_equate_2_596,count,TS-controlled,30.0
count_equate_2_597,count,TS-controlled,30.0
count_equate_2_598,count,TS-controlled,30.0
count_equate_2_599,count,TS-controlled,30.0
count_equate_2_600,count,TS-controlled,30.0
count_equate_3_581,count,CH-controlled,30.0
count_equate_3_582,count,CH-controlled,30.0
count_equate_3_583,count,CH-controlled,30.0
count_equate_3_584,count,CH-controlled,30.0
count_equate_3_585,count,CH-controlled,30.0
count_equate_3_586,count,CH-controlled,30.0
count_equate_3_587,count,CH-controlled,30.0
count_equate_3_588,count,CH-controlled,30.0
count_equate_3_589,count,CH-controlled,30.0
count_equate_3_590,count,CH-controlled,30.0
count_equate_3_591,count,CH-controlled,30.0
count_equate_3_592,count,CH-controlled,30.0
count_equate_3_593,count,CH-controlled,30.0
count_equate_3_594,count,CH-controlled,30.0
count_equate_3_595,count,CH-controlled,30.0
count_equate_3_596,count,CH-controlled,30.0
count_equate_3_597,count,CH-controlled,30.0
count_equate_3_598,count,CH-controlled,30.0
count_equate_3_599,count,CH-controlled,30.0
count_equate_3_600,count,CH-controlled,30.0
size-count_equate_1_241,size-count,AD-controlled,13.0
size-count_equate_1_242,size-count,AD-controlled,13.0
size-count_equate_1_243,size-count,AD-controlled,13.0
size-count_equate_1_244,size-count,AD-controlled,13.0
size-count_equate_1_245,size-count,AD-controlled,13.0
size-count_equate_1_246,size-count,AD-controlled,13.0
size-count_equate_1_247,size-count,AD-controlled,13.0
size-count_equate_1_248,size-count,AD-controlled,13.0
size-count_equate_1_249,size-count,AD-controlled,13.0
size-count_equate_1_250,size-count,AD-controlled,13.0
size-count_equate_1_251,size-count,AD-controlled,13.0
size-count_equate_1_252,size-count,AD-controlled,13.0
size-count_equate_1_253,size-count,AD-controlled,13.0
size-count_equate_1_254,size-count,AD-controlled,13.0
size-count_equate_1_255,size-count,AD-controlled,13.0
size-count_equate_1_256,size-count,AD-controlled,13.0
size-count_equate_1_257,size-count,AD-controlled,13.0
size-count_equate_1_258,size-count,AD-controlled,13.0
size-count_equate_1_259,size-count,AD-controlled,13.0
size-count_equate_1_260,size-count,AD-controlled,13.0
size-count_equate_2_581,size-count,TS-controlled,30.0
size-count_equate_2_583,size-count,TS-controlled,30.0
size-count_equate_2_584,size-count,TS-controlled,30.0
size-count_equate_2_585,size-count,TS-controlled,30.0
size-count_equate_2_586,size-count,TS-controlled,30.0
size-count_equate_2_587,size-count,TS-controlled,30.0
size-count_equate_2_588,size-count,TS-controlled,30.0
size-count_equate_2_589,size-count,TS-controlled,30.0
size-count_equate_2_590,size-count,TS-controlled,30.0
size-count_equate_2_591,size-count,TS-controlled,30.0
size-count_equate_2_592,size-count,TS-controlled,30.0
size-count_equate_2_593,size-count,TS-controlled,30.0
size-count_equate_2_594,size-count,TS-controlled,30.0
size-count_equate_2_595,size-count,TS-controlled,30.0
size-count_equate_2_596,size-count,TS-controlled,30.0
size-count_equate_2_597,size-count,TS-controlled,30.0
size-count_equate_2_598,size-count,TS-controlled,30.0
size-count_equate_2_599,size-count,TS-controlled,30.0
size-count_equate_2_600,size-count,TS-controlled,30.0
size-count_equate_3_581,size-count,CH-controlled,30.0
size-count_equate_3_582,size-count,CH-controlled,30.0
size-count_equate_3_583,size-count,CH-controlled,30.0
size-count_equate_3_584,size-count,CH-controlled,30.0
size-count_equate_3_585,size-count,CH-controlled,30.0
size-count_equate_3_586,size-count,CH-controlled,30.0
size-count_equate_3_587,size-count,CH-controlled,30.0
size-count_equate_3_588,size-count,CH-controlled,30.0
size-count_equate_3_589,size-count,CH-controlled,30.0
size-count_equate_3_590,size-count,CH-controlled,30.0
size-count_equate_3_591,size-count,CH-controlled,30.0
size-count_equate_3_592,size-count,CH-controlled,30.0
size-count_equate_3_593,size-count,CH-controlled,30.0
size-count_equate_3_594,size-count,CH-controlled,30.0
size-count_equate_3_595,size-count,CH-controlled,30.0
size-count_equate_3_596,size-count,CH-controlled,30.0
size-count_equate_3_597,size-count,CH-controlled,30.0
size-count_equate_3_598,size-count,CH-controlled,30.0
size-count_equate_3_599,size-count,CH-controlled,30.0
size-count_equate_3_600,size-count,CH-controlled,30.0
size_equate_1_121,size,AD-controlled,7.0
size_equate_1_122,size,AD-controlled,7.0
size_equate_1_123,size,AD-controlled,7.0
size_equate_1_124,size,AD-controlled,7.0
size_equate_1_125,size,AD-controlled,7.0
size_equate_1_126,size,AD-controlled,7.0
size_equate_1_127,size,AD-controlled,7.0
size_equate_1_129,size,AD-controlled,7.0
size_equate_1_130,size,AD-controlled,7.0
size_equate_1_131,size,AD-controlled,7.0
size_equate_1_132,size,AD-controlled,7.0
size_equate_1_133,size,AD-controlled,7.0
size_equate_1_134,size,AD-controlled,7.0
size_equate_1_135,size,AD-controlled,7.0
size_equate_1_136,size,AD-controlled,7.0
size_equate_1_137,size,AD-controlled,7.0
size_equate_1_138,size,AD-controlled,7.0
size_equate_1_139,size,AD-controlled,7.0
size_equate_1_140,size,AD-controlled,7.0
size_equate_2_281,size,TS-controlled,15.0
size_equate_2_282,size,TS-controlled,15.0
size_equate_2_283,size,TS-controlled,15.0
size_equate_2_284,size,TS-controlled,15.0
size_equate_2_285,size,TS-controlled,15.0
size_equate_2_286,size,TS-controlled,15.0
size_equate_2_287,size,TS-controlled,15.0
size_equate_2_288,size,TS-controlled,15.0
size_equate_2_289,size,TS-controlled,15.0
size_equate_2_290,size,TS-controlled,15.0
size_equate_2_291,size,TS-controlled,15.0
size_equate_2_292,size,TS-controlled,15.0
size_equate_2_293,size,TS-controlled,15.0
size_equate_2_294,size,TS-controlled,15.0
size_equate_2_295,size,TS-controlled,15.0
size_equate_2_296,size,TS-controlled,15.0
size_equate_2_297,size,TS-controlled,15.0
size_equate_2_298,size,TS-controlled,15.0
size_equate_2_299,size,TS-controlled,15.0
size_equate_2_300,size,TS-controlled,15.0
size_equate_3_101,size,CH-controlled,6.0
size_equate_3_102,size,CH-controlled,6.0
size_equate_3_103,size,CH-controlled,6.0
size_equate_3_104,size,CH-controlled,6.0
size_equate_3_105,size,CH-controlled,6.0
size_equate_3_106,size,CH-controlled,6.0
size_equate_3_107,size,CH-controlled,6.0
size_equate_3_108,size,CH-controlled,6.0
size_equate_3_109,size,CH-controlled,6.0
size_equate_3_110,size,CH-controlled,6.0
size_equate_3_111,size,CH-controlled,6.0
size_equate_3_112,size,CH-controlled,6.0
size_equate_3_113,size,CH-controlled,6.0
size_equate_3_114,size,CH-controlled,6.0
size_equate_3_115,size,CH-controlled,6.0
size_equate_3_116,size,CH-controlled,6.0
size_equate_3_117,size,CH-controlled,6.0
size_equate_3_118,size,CH-controlled,6.0
size_equate_3_119,size,CH-controlled,6.0
size_equate_3_120,size,CH-controlled,6.0
